table_name,column_name,data_type,primary_key
company_metadata,ticker,TEXT,YES
company_metadata,key,TEXT,NO
company_metadata,value,TEXT,NO
ohlcv_data_raw,ticker,TEXT,YES
ohlcv_data_raw,date,DATE,YES
ohlcv_data_raw,open,NUMERIC,NO
ohlcv_data_raw,high,NUMERIC,NO
ohlcv_data_raw,low,NUMERIC,NO
ohlcv_data_raw,close,NUMERIC,NO
ohlcv_data_raw,volume,BIGINT,NO
ohlcv_data_raw,dividends,NUMERIC,NO
ohlcv_data_raw,splits,NUMERIC,NO
options_chain,contract_symbol,TEXT,YES
options_chain,last_trade_date,TIMESTAMP,NO
options_chain,strike,NUMERIC,NO
options_chain,last_price,NUMERIC,NO
options_chain,bid,NUMERIC,NO
options_chain,ask,NUMERIC,NO
options_chain,change,NUMERIC,NO
options_chain,percent_change,NUMERIC,NO
options_chain,volume,INTEGER,NO
options_chain,open_interest,INTEGER,NO
options_chain,implied_volatility,NUMERIC,NO
options_chain,in_the_money,BOOLEAN,NO
options_chain,contract_size,TEXT,NO
options_chain,currency,TEXT,NO
options_chain,option_type,TEXT,NO
options_chain,expiration_date,DATE,NO
financials_income,ticker,TEXT,YES
financials_income,report_date,DATE,YES
financials_income,metric_name,TEXT,YES
financials_income,value,NUMERIC,NO
financials_balance,ticker,TEXT,YES
financials_balance,report_date,DATE,YES
financials_balance,metric_name,TEXT,YES
financials_balance,value,NUMERIC,NO
financials_cashflow,ticker,TEXT,YES
financials_cashflow,report_date,DATE,YES
financials_cashflow,metric_name,TEXT,YES
financials_cashflow,value,NUMERIC,NO
events_calendar,ticker,TEXT,YES
events_calendar,event_type,TEXT,YES
events_calendar,event_date,TIMESTAMP,NO
sustainability_data,ticker,TEXT,YES
sustainability_data,metric_name,TEXT,YES
sustainability_data,esg_score,NUMERIC,NO
dividends,ticker,TEXT,YES
dividends,date,DATE,YES
dividends,dividends,NUMERIC,NO
splits,ticker,TEXT,YES
splits,date,DATE,YES
splits,splits,NUMERIC,NO
earnings_date,ticker,TEXT,YES
earnings_date,earnings_date,DATE,YES
earnings_date,eps_estimate,NUMERIC,NO
earnings_date,reported_eps,NUMERIC,NO
earnings_date,surprise,NUMERIC,NO
analyst_recommendations,ticker,TEXT,YES
analyst_recommendations,period,TEXT,YES
analyst_recommendations,strong_buy,INTEGER,NO
analyst_recommendations,buy,INTEGER,NO
analyst_recommendations,hold,INTEGER,NO
analyst_recommendations,sell,INTEGER,NO
analyst_recommendations,strong_sell,INTEGER,NO
